model,family,combination,saved_filename,params,valid_pr_auc,valid_roc_auc,valid_precision,valid_recall,valid_f1,valid_accuracy,train_pr_auc,train_roc_auc,train_precision,train_recall,train_f1,train_accuracy,pr_auc_gap,roc_auc_gap,precision_gap,recall_gap,f1_gap,valid_false_positives,valid_false_negatives,train_false_positives,train_false_negatives,training_time_seconds,training_time_minutes,best_cv_pr_auc,overfitting_gap,Precision (Fraud),Recall (Fraud),F1-Score,False Positives,False Negatives
XGBoost (Combo 77),XGBoost,77,XGBoost_colsample_bytree=0.8_learning_rate=0.1_max_depth=3_n_estimators=300_subsample=0.8.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.843529,0.981812,0.9375,0.793651,0.859599,0.999568,0.99849,0.999996,1.0,0.955026,0.976996,0.999925,0.154961,0.018184,0.0625,0.161376,0.117397,20,78,0,17,9.2215,0.1537,0.843529,0.154961,0.9375,0.793651,0.859599,20,78
XGBoost (Combo 59),XGBoost,59,XGBoost_colsample_bytree=0.8_learning_rate=0.05_max_depth=3_n_estimators=300_subsample=0.8.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.843453,0.98178,0.940439,0.793651,0.860832,0.999573,0.959537,0.999762,0.973054,0.859788,0.912921,0.999727,0.116084,0.017981,0.032615,0.066138,0.052089,19,78,9,53,8.7873,0.1465,0.843453,0.116084,0.940439,0.793651,0.860832,19,78
XGBoost (Combo 126),XGBoost,126,XGBoost_colsample_bytree=1.0_learning_rate=0.05_max_depth=6_n_estimators=300_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.843153,0.98174,0.943038,0.78836,0.85879,0.999568,1.0,1.0,1.0,1.0,1.0,1.0,0.156847,0.01826,0.056962,0.21164,0.14121,18,80,0,0,9.9851,0.1664,0.843153,0.156847,0.943038,0.78836,0.85879,18,80
XGBoost (Combo 129),XGBoost,129,XGBoost_colsample_bytree=1.0_learning_rate=0.1_max_depth=3_n_estimators=200_subsample=0.8.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.843043,0.98093,0.939683,0.783069,0.854257,0.999555,0.988789,0.999971,0.99115,0.888889,0.937238,0.999802,0.145746,0.019041,0.051468,0.10582,0.082982,19,82,3,42,6.8137,0.1136,0.843043,0.145746,0.939683,0.783069,0.854257,19,82
XGBoost (Combo 131),XGBoost,131,XGBoost_colsample_bytree=1.0_learning_rate=0.1_max_depth=3_n_estimators=300_subsample=0.8.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.842564,0.980808,0.943218,0.791005,0.860432,0.999573,0.99964,0.999999,1.0,0.965608,0.982503,0.999943,0.157077,0.019192,0.056782,0.174603,0.122072,18,79,0,13,9.3896,0.1565,0.842564,0.157077,0.943218,0.791005,0.860432,18,79
XGBoost (Combo 5),XGBoost,5,XGBoost_colsample_bytree=0.7_learning_rate=0.05_max_depth=3_n_estimators=300_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.842422,0.982038,0.9375,0.793651,0.859599,0.999568,0.956958,0.999752,0.978852,0.857143,0.913963,0.999731,0.114536,0.017714,0.041352,0.063492,0.054364,20,78,7,54,8.82,0.147,0.842422,0.114536,0.9375,0.793651,0.859599,20,78
XGBoost (Combo 113),XGBoost,113,XGBoost_colsample_bytree=1.0_learning_rate=0.05_max_depth=3_n_estimators=300_subsample=0.8.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.842328,0.982288,0.940625,0.796296,0.862464,0.999577,0.961589,0.999781,0.978916,0.859788,0.915493,0.999736,0.119261,0.017493,0.038291,0.063492,0.053029,19,77,7,53,9.0845,0.1514,0.842328,0.119261,0.940625,0.796296,0.862464,19,77
XGBoost (Combo 13),XGBoost,13,XGBoost_colsample_bytree=0.7_learning_rate=0.05_max_depth=6_n_estimators=100_subsample=0.8.joblib,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.842276,0.982928,0.949045,0.78836,0.861272,0.999577,0.972572,0.999896,0.985119,0.875661,0.927171,0.999771,0.130296,0.016967,0.036074,0.087302,0.065899,16,80,5,47,4.8146,0.0802,0.842276,0.130296,0.949045,0.78836,0.861272,16,80
XGBoost (Combo 68),XGBoost,68,XGBoost_colsample_bytree=0.8_learning_rate=0.05_max_depth=6_n_estimators=100_subsample=1.0.joblib,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.841471,0.982248,0.934169,0.78836,0.855093,0.999555,0.980011,0.999918,0.988131,0.880952,0.931469,0.999784,0.138541,0.01767,0.053961,0.092593,0.076375,21,80,4,45,4.2233,0.0704,0.841471,0.138541,0.934169,0.78836,0.855093,21,80
XGBoost (Combo 124),XGBoost,124,XGBoost_colsample_bytree=1.0_learning_rate=0.05_max_depth=6_n_estimators=200_subsample=1.0.joblib,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.841349,0.982221,0.940625,0.796296,0.862464,0.999577,0.999815,1.0,1.0,0.981481,0.990654,0.999969,0.158466,0.017779,0.059375,0.185185,0.12819,19,77,0,7,7.2055,0.1201,0.841349,0.158466,0.940625,0.796296,0.862464,19,77
